split_id,split_mode,repetition,split_role,trace_id,algorithm,size,backend
backend_holdout_rep000,backend_holdout,0,validation,dj_10_fake_fez,dj,10,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,dj_10_fake_marrakesh,dj,10,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,dj_10_fake_sherbrooke,dj,10,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,dj_10_fake_torino,dj,10,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,dj_12_fake_fez,dj,12,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,dj_12_fake_marrakesh,dj,12,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,dj_12_fake_sherbrooke,dj,12,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,dj_12_fake_torino,dj,12,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,dj_14_fake_kyiv,dj,14,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,dj_14_fake_marrakesh,dj,14,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,dj_14_fake_sherbrooke,dj,14,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,dj_14_fake_torino,dj,14,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,dj_4_fake_fez,dj,4,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,dj_4_fake_kyiv,dj,4,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,dj_4_fake_marrakesh,dj,4,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,dj_4_fake_sherbrooke,dj,4,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,dj_6_fake_fez,dj,6,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,dj_6_fake_kyiv,dj,6,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,dj_6_fake_marrakesh,dj,6,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,dj_6_fake_torino,dj,6,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,dj_8_fake_fez,dj,8,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,dj_8_fake_kyiv,dj,8,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,dj_8_fake_sherbrooke,dj,8,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,dj_8_fake_torino,dj,8,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qaoa_10_fake_fez,qaoa,10,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qaoa_10_fake_kyiv,qaoa,10,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qaoa_10_fake_marrakesh,qaoa,10,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qaoa_10_fake_sherbrooke,qaoa,10,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,qaoa_12_fake_fez,qaoa,12,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qaoa_12_fake_kyiv,qaoa,12,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qaoa_12_fake_marrakesh,qaoa,12,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qaoa_12_fake_torino,qaoa,12,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qaoa_14_fake_fez,qaoa,14,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qaoa_14_fake_kyiv,qaoa,14,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qaoa_14_fake_marrakesh,qaoa,14,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qaoa_14_fake_sherbrooke,qaoa,14,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,qaoa_4_fake_kyiv,qaoa,4,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qaoa_4_fake_marrakesh,qaoa,4,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qaoa_4_fake_sherbrooke,qaoa,4,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,qaoa_4_fake_torino,qaoa,4,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qaoa_6_fake_kyiv,qaoa,6,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qaoa_6_fake_marrakesh,qaoa,6,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qaoa_6_fake_sherbrooke,qaoa,6,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,qaoa_6_fake_torino,qaoa,6,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qaoa_8_fake_kyiv,qaoa,8,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qaoa_8_fake_marrakesh,qaoa,8,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qaoa_8_fake_sherbrooke,qaoa,8,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,qaoa_8_fake_torino,qaoa,8,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qft_10_fake_fez,qft,10,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qft_10_fake_kyiv,qft,10,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qft_10_fake_marrakesh,qft,10,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qft_10_fake_torino,qft,10,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qft_12_fake_fez,qft,12,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qft_12_fake_kyiv,qft,12,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qft_12_fake_marrakesh,qft,12,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qft_12_fake_torino,qft,12,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qft_14_fake_fez,qft,14,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qft_14_fake_kyiv,qft,14,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qft_14_fake_sherbrooke,qft,14,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,qft_14_fake_torino,qft,14,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qft_4_fake_fez,qft,4,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qft_4_fake_kyiv,qft,4,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qft_4_fake_sherbrooke,qft,4,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,qft_4_fake_torino,qft,4,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qft_6_fake_fez,qft,6,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qft_6_fake_kyiv,qft,6,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qft_6_fake_marrakesh,qft,6,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qft_6_fake_torino,qft,6,fake_torino
backend_holdout_rep000,backend_holdout,0,validation,qft_8_fake_fez,qft,8,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qft_8_fake_kyiv,qft,8,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qft_8_fake_marrakesh,qft,8,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qft_8_fake_sherbrooke,qft,8,fake_sherbrooke
backend_holdout_rep000,backend_holdout,0,validation,qnn_10_fake_fez,qnn,10,fake_fez
backend_holdout_rep000,backend_holdout,0,validation,qnn_10_fake_kyiv,qnn,10,fake_kyiv
backend_holdout_rep000,backend_holdout,0,validation,qnn_10_fake_marrakesh,qnn,10,fake_marrakesh
backend_holdout_rep000,backend_holdout,0,validation,qnn_10_fake_sherbrooke,qnn,10,fake_sherbrooke
